own_occ,gross_area,total_value,gross_tax,bed_rms,full_bth,hlf_bth,tt_rms,kitchens,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_quality,overall_condition_ranking,heat_type_rank,property_rank,zipcode_rank
1,4518.0,959300.0,11108.69,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,24.0,0,3,6,4,2
0,2688.0,611500.0,7081.17,3.0,1.0,0.0,8.0,1.0,0.0,0.0,1.5,125.0,21.0,0,3,5,1,2
1,2212.0,480100.0,5559.55,4.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,125.0,125.0,0,3,6,1,2
0,4245.0,1080400.0,12511.03,10.0,3.0,0.0,20.0,3.0,0.0,0.0,3.0,126.0,25.0,0,3,6,4,2
1,4341.0,1168600.0,13532.38,9.0,3.0,0.0,14.0,3.0,0.0,0.0,3.0,125.0,14.0,0,4,6,4,2
1,819.0,531300.0,6152.45,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,125.0,3.0,1,4,5,2,2
1,812.0,540600.0,6260.14,2.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,125.0,3.0,1,4,5,2,2
1,812.0,550100.0,6370.15,2.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,125.0,3.0,1,4,5,2,2
1,4326.0,905100.0,10481.05,5.0,3.0,0.0,14.0,3.0,0.0,0.0,3.0,118.0,22.0,0,3,6,4,2
1,918.0,507600.0,5878.0,2.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,8.0,8.0,1,3,5,2,2
0,925.0,508200.0,5884.96,2.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,8.0,8.0,1,3,5,2,2
0,1051.0,544600.0,6306.47,2.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,8.0,8.0,1,3,5,2,2
0,3130.0,1054100.0,12206.48,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,135.0,6.0,1,4,5,4,2
0,3080.0,784500.0,9084.51,6.0,3.0,0.0,14.0,3.0,0.0,0.0,3.0,135.0,135.0,0,3,6,4,2
0,4024.0,883300.0,10228.61,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,135.0,135.0,0,3,6,4,2
1,1325.0,613700.0,7106.64,2.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,9.0,9.0,1,3,5,2,2
0,809.0,509400.0,5898.85,2.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,9.0,9.0,1,3,5,2,2
1,916.0,525700.0,6087.6,2.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,9.0,9.0,1,3,5,2,2
0,3872.0,460800.0,5336.06,8.0,4.0,0.0,14.0,4.0,0.0,0.0,3.0,135.0,58.0,0,1,6,4,2
0,3696.0,840400.0,9731.83,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,3868.0,826100.0,9566.24,6.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
1,3392.0,862000.0,9981.96,8.0,3.0,0.0,14.0,3.0,0.0,0.0,3.0,37.0,37.0,0,3,6,4,2
0,2237.0,700100.0,8107.16,3.0,1.0,1.0,6.0,1.0,0.0,0.0,2.0,125.0,125.0,0,4,6,1,2
1,2345.0,537100.0,6219.61,3.0,2.0,0.0,6.0,1.0,0.0,0.0,2.0,125.0,125.0,0,3,3,1,2
0,1920.0,227900.0,2639.08,3.0,2.0,0.0,6.0,1.0,0.0,0.0,2.0,125.0,11.0,0,1,6,1,2
0,4106.0,728400.0,8434.87,9.0,6.0,1.0,15.0,3.0,0.0,0.0,3.0,115.0,3.0,1,4,5,4,2
0,4230.0,727500.0,8424.45,9.0,6.0,1.0,15.0,3.0,0.0,0.0,3.0,125.0,3.0,1,4,5,4,2
